rank,comment,_product,title,link
,null,AppleiPhone8,"<h1 class=""title_news_detail mb10"">
Những lỗi nghiêm trọng ở sản phẩm Apple </h1>",https://vnexpress.net/so-hoa/nhung-loi-nghiem-trong-o-san-pham-apple-3971234.html
,null,AppleiPhone8,"<h1 class=""title_news_detail mb10"">
Những lỗi nghiêm trọng ở sản phẩm Apple </h1>",https://vnexpress.net/so-hoa/nhung-loi-nghiem-trong-o-san-pham-apple-3971234.html
,"Với máy bay,chỉ 1 sơ suất nhỏ hậu quả sẽ thật khôn lường",AppleiPhone8,"<h1 class=""title_news_detail mb10"">
Cục Hàng không cấm mang máy tính MacBook Pro 15 lên máy bay </h1>",https://vnexpress.net/so-hoa/cuc-hang-khong-cam-mang-may-tinh-macbook-pro-15-len-may-bay-3970887.html
,Đúng men. Ngắn gọn nhưng xúc tích.Chỉ ẩu 1 lần là ko có cơ để hối. Cv của mình thường nhắc khách những chuueen như vậy. Nhưng tất cả 30% kiến thức 70% ý thức của những người ngoài đó.,AppleiPhone8,"<h1 class=""title_news_detail mb10"">
Cục Hàng không cấm mang máy tính MacBook Pro 15 lên máy bay </h1>",https://vnexpress.net/so-hoa/cuc-hang-khong-cam-mang-may-tinh-macbook-pro-15-len-may-bay-3970887.html
,Vậy mới cấm đó.,AppleiPhone8,"<h1 class=""title_news_detail mb10"">
Cục Hàng không cấm mang máy tính MacBook Pro 15 lên máy bay </h1>",https://vnexpress.net/so-hoa/cuc-hang-khong-cam-mang-may-tinh-macbook-pro-15-len-may-bay-3970887.html
,Ô hô! Hàng của apple cũng nóng cũng.cháy nổ à? Mấy thánh hồi nào nhắc đi nhắc lại vụ Galaxy Note 7 giờ có ý kiến gì ko?,AppleiPhone8,"<h1 class=""title_news_detail mb10"">
Cục Hàng không cấm mang máy tính MacBook Pro 15 lên máy bay </h1>",https://vnexpress.net/so-hoa/cuc-hang-khong-cam-mang-may-tinh-macbook-pro-15-len-may-bay-3970887.html
,"Giờ nào rồi còn tỏ ra ngạc nhiên vậy? Máy Mac chạy vài ứng dụng bình thường cũng 70- 80 độ, chạy hết công suất thì chạm ngưỡng 100 độ đấy.",AppleiPhone8,"<h1 class=""title_news_detail mb10"">
Cục Hàng không cấm mang máy tính MacBook Pro 15 lên máy bay </h1>",https://vnexpress.net/so-hoa/cuc-hang-khong-cam-mang-may-tinh-macbook-pro-15-len-may-bay-3970887.html
,"Có chứ bạn, vẫn cảm thấy vui vì không bị huỷ toàn bộ như Nổ 7",AppleiPhone8,"<h1 class=""title_news_detail mb10"">
Cục Hàng không cấm mang máy tính MacBook Pro 15 lên máy bay </h1>",https://vnexpress.net/so-hoa/cuc-hang-khong-cam-mang-may-tinh-macbook-pro-15-len-may-bay-3970887.html
,Hihi mới hôm nào còn trêu Note 7. Nay không biết trốn đâu luôn,AppleiPhone8,"<h1 class=""title_news_detail mb10"">
Cục Hàng không cấm mang máy tính MacBook Pro 15 lên máy bay </h1>",https://vnexpress.net/so-hoa/cuc-hang-khong-cam-mang-may-tinh-macbook-pro-15-len-may-bay-3970887.html
,"Tốt quá rồi, đảm bảo an toàn cho tất cả mọi người đi máy bay.",AppleiPhone8,"<h1 class=""title_news_detail mb10"">
Cục Hàng không cấm mang máy tính MacBook Pro 15 lên máy bay </h1>",https://vnexpress.net/so-hoa/cuc-hang-khong-cam-mang-may-tinh-macbook-pro-15-len-may-bay-3970887.html
,"bác nào bán rẻ lại con này em mua, em sử dụng dưới đất ít bay lắm ạ, em cảm ơn",AppleiPhone8,"<h1 class=""title_news_detail mb10"">
Cục Hàng không cấm mang máy tính MacBook Pro 15 lên máy bay </h1>",https://vnexpress.net/so-hoa/cuc-hang-khong-cam-mang-may-tinh-macbook-pro-15-len-may-bay-3970887.html
,"Ôi,m ình lại được bảo hành máy mới free rồi",AppleiPhone8,"<h1 class=""title_news_detail mb10"">
Cục Hàng không cấm mang máy tính MacBook Pro 15 lên máy bay </h1>",https://vnexpress.net/so-hoa/cuc-hang-khong-cam-mang-may-tinh-macbook-pro-15-len-may-bay-3970887.html
